315,AMBO,A,Ambow,3
316,AMC,A,AMC,10
318,AMCR,A,Amcor,11
319,AMCX,A,AMC,43
321,AME,A,AMETEK,98
322,AMED,A,Amedisys,192
323,AMEH,A,Apollo,20
324,AMG,A,Affiliated,96
325,AMGN,A,Amgen,219
344,AMRH,A,Ameri,
347,AMRQQ,A,Alta,
358,AMTD,A,TD,
371,ANCN,A,Anchiano,
381,ANH,A,Anworth,
395,AOBC,A,American,
405,APAC,A,Stonebridge,
411,APEX,A,APEX,
415,APHA,A,Aphria,
434,APTM,A,Alpha,
442,APY,A,Apergy,
450,ARA,A,American,
486,ARTE,A,Artemis,
327,AMHC,A,Amplitude,10
328,AMHG,A,Amergent,1
329,AMK,A,AssetMark,25
331,AMN,A,AMN,62
332,AMNB,A,American,31
333,AMOT,A,Allied,28
334,AMOV,A,America,14
335,AMP,A,Ameriprise,164
336,AMPE,A,Ampio,1
338,AMPH,A,Amphastar,20
339,AMPI,A,Advanced,10
340,AMPY,A,Amplify,4
341,AMR,A,Alpha,16
342,AMRB,A,American,13
343,AMRC,A,Ameresco,28
345,AMRK,A,A-Mark,21
346,AMRN,A,Amarin,12
348,AMRS,A,Amyris,6
349,AMRX,A,Amneal,6
351,AMSC,A,American,12
352,AMSF,A,AMERISAFE,62
353,AMST,A,Amesite,4
354,AMSWA,A,American,16
355,AMT,A,American,226
356,AMTB,A,Amerant,17
357,AMTBB,A,Amerant,13
359,AMTI,A,Applied,37
361,AMTY,A,Amerityre,0
362,AMWD,A,American,85
363,AMWL,A,Amwell,24
364,AMX,A,America,14
365,AMYT,A,Amryt,13
366,AMZN,A,Amazon,2435
367,AN,A,AutoNation,54
368,ANAB,A,AnaptysBio,34
370,ANAT,A,American,105
372,ANDA,A,Andina,10
373,ANDE,A,Andersons,24
374,ANDR,A,Andrea,0
375,ANET,A,Arista,252
376,ANF,A,Abercrombie,20
377,ANFIF,A,Amira,10
378,ANGI,A,ANGI,12
380,ANGO,A,AngioDynamics,17
382,ANIK,A,Anika,41
383,ANIP,A,ANI,48
384,ANIX,A,Anixa,4
385,ANNX,A,Annexon,25
386,ANPC,A,AnPac,6
387,ANSS,A,ANSYS,268
388,ANTE,A,AirNet,2
390,ANTM,A,Anthem,293
391,ANVS,A,Annovis,15
392,ANXGF,A,Anaconda,1
393,ANY,A,Sphere,2
394,ANZU,A,Anzu,10
396,AOLS,A,Aeolus,0
397,AON,A,Aon,199
399,AOS,A,A.,51
400,AOSL,A,Alpha,16
401,AOUT,A,American,21
402,AOXG,A,Aoxing,0
403,AP,A,Ampco-Pittsburgh,4
404,APA,A,Apache,21
406,APAM,A,Artisan,35
408,APDN,A,Applied,11
409,APEI,A,American,29
410,APEN,A,Apollo,3
412,APG,A,APi,17
413,APGB,A,Apollo,10
414,APH,A,Amphenol,53
416,API,A,Agora,49
418,APLS,A,Apellis,33
419,APLT,A,Applied,24
420,APM,A,Aptorum,10
421,APO,A,Apollo,42
422,APOG,A,Apogee,32
423,APOP,A,Cellect,3
424,APP,A,Applovin,69
425,APPF,A,AppFolio,122
426,APPH,A,AppHarvest,16
428,APPS,A,Digital,24
429,APR,A,Apria,27
430,APRE,A,Aprea,23
431,APRN,A,Blue,9
432,APSG,A,Apollo,10
433,APT,A,Alpha,9
436,APTS,A,Preferred,11
437,APTV,A,Aptiv,96
438,APTX,A,Aptinyx,4
439,APVO,A,Aptevo,16
440,APWC,A,Asia,2
441,APXT,A,Apex,11
444,AQB,A,AquaBounty,4
445,AQMS,A,Aqua,2
446,AQN,A,Algonquin,14
447,AQST,A,Aquestive,5
449,AR,A,Antero,5
451,ARAV,A,Aravive,7
452,ARAY,A,Accuray,4
453,ARBG,A,Aequi,10
454,ARC,A,ARC,2
455,ARCB,A,ArcBest,36
456,ARCC,A,Ares,17
458,ARCH,A,Arch,59
459,ARCO,A,Arcos,6
460,ARCT,A,Arcturus,29
